Title,Description,Labels,Priority,Status,Assignee
Publish 'What is QitOps?' blog post,Part of Phase 1 – Authority & Momentum,Phase 1,High,Planned,opperman.jonathan
Record and share a 3-minute intro to QitOps Learn,Part of Phase 1 – Authority & Momentum,Phase 1,Medium,Planned,opperman.jonathan
Launch QitOps Learn: Test Analyst track,Part of Phase 1 – Authority & Momentum,Phase 1,High,Planned,opperman.jonathan
Demo: Test Generation using AI + YAML + Robot Framework,Part of Phase 1 – Authority & Momentum,Phase 1,Medium,Planned,opperman.jonathan
Start weekly LinkedIn updates on QitOps philosophy and practices,Part of Phase 1 – Authority & Momentum,Phase 1,Low,Planned,opperman.jonathan
Create a QitOps Community Discord or Slack,Part of Phase 2 – Community as a Movement,Phase 2,Medium,Planned,opperman.jonathan
Write 'How to Get Involved with QitOps',Part of Phase 2 – Community as a Movement,Phase 2,Medium,Planned,opperman.jonathan
Run async mentorship beta (3–5 testers),Part of Phase 2 – Community as a Movement,Phase 2,Medium,Planned,opperman.jonathan
Enable GitHub Discussions for roadmap feedback,Part of Phase 2 – Community as a Movement,Phase 2,Low,Planned,opperman.jonathan
Highlight QitOps learner testimonials and journeys,Part of Phase 2 – Community as a Movement,Phase 2,Low,Planned,opperman.jonathan
Package and sell QitOps Starter Kit (Markdown + YAML templates),Part of Phase 3 – Productization & Growth,Phase 3,High,Planned,opperman.jonathan
Offer pre-orders or early access bundles for QitOps premium courses,Part of Phase 3 – Productization & Growth,Phase 3,Medium,Planned,opperman.jonathan
Host 'Future of QA' livestream or founder fireside chat,Part of Phase 3 – Productization & Growth,Phase 3,Medium,Planned,opperman.jonathan
"Release CLI utilities with documentation (e.g. qitops-ai, qitops-risk)",Part of Phase 3 – Productization & Growth,Phase 3,High,Planned,opperman.jonathan
Maintain and evolve QitOps Disciplines and Role Roadmaps,Ongoing task for long-term platform integrity,Ongoing,High,Planned,opperman.jonathan
Write monthly QitOps founder reflections (Notion or blog),Ongoing personal practice,Ongoing,Low,Planned,opperman.jonathan
Mentor one early career QA per quarter,Ongoing community impact effort,Ongoing,Medium,Planned,opperman.jonathan
